Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
0,2100180003,Woman,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
1,2100180007,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2,2100180039,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",another situation
3,2100180047,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
4,2100180051,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
5,2100180061,man,"under the influence of drugs, narcotics",poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
6,2100180093,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
7,2100180094,another group,not detected,,another situation
8,2100180098,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
9,2100180147,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
10,2100180189,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
11,2100180265,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
12,2100180337,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
13,2100180377,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
14,2100180378,child (up to 15 years),good no adverse circumstances were found,,another situation
15,2100180444,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
16,2100180476,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
17,2100180502,another group,not detected,,another situation
18,2100180535,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
19,2100180540,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
20,2100180561,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
21,2100180569,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
22,2100180582,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
23,2100180616,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
24,2100180625,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
25,2100180662,another group,not detected,,another situation
26,2100180668,Woman,good no adverse circumstances were found,,another situation
27,2100180739,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
28,2100180744,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
29,2100180761,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
30,2100180772,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
31,2100180778,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
32,2100180780,child (up to 15 years),not detected,,pedestrian entering on the STOP signal
33,2100180785,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
34,2100180792,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
35,2100180803,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
36,2100180809,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
37,2100180810,child (up to 15 years),"inattention, distraction",sudden entry into the road from a boarding or dividing island,crossing at a marked crossing
38,2100180838,another group,not detected,,another situation
39,2100180850,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
40,2100180858,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
41,2100180860,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
42,2100180888,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
43,2100180899,Woman,good no adverse circumstances were found,,another situation
44,2100180946,man,good no adverse circumstances were found,"confused, hasty, indecisive behaviour",another situation
45,2100181013,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
46,2100181054,man,good no adverse circumstances were found,"correct, appropriate",another situation
47,2100181069,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
48,2100181089,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
49,2100181218,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
50,2100181263,another group,not detected,,another situation
51,2100181282,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,another situation
52,2100181321,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
53,2100181328,another group,not detected,,another situation
54,2100181340,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
55,2100181374,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
56,2100181380,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
57,2100181381,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entering on the STOP signal
58,2100181383,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
59,2100181395,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
60,2100181423,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
61,2100181427,man,not detected,poor estimation of the distance and speed of the vehicle,another situation
62,2100181430,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
63,2100181441,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
64,2100181445,Woman,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"correct, appropriate",crossing at a marked crossing
65,2100181446,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
66,2100181510,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
67,2100181604,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
68,2100181674,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
69,2100181680,another group,not detected,,crossing at a marked crossing
70,2100181696,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
71,2100181705,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
72,2100181708,another group,not detected,,another situation
73,2100181745,another group,not detected,,another situation
74,2100181762,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing at a marked crossing
75,2100181764,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
76,2100181820,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
77,2100181889,man,under the influence of alcohol with a blood alcohol content of up to 0.99 ‰,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
78,2100181923,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",another situation
79,2100181955,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",another situation
80,2100181966,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
81,2100181985,man,good no adverse circumstances were found,"correct, appropriate",another situation
82,2100182002,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"sudden entry into the roadway from the sidewalk, shoulder",pedestrian entering on the STOP signal
83,2100182006,another group,not detected,,another situation
84,2100182033,Woman,good no adverse circumstances were found,"correct, appropriate","walking, standing on the pavement"
85,2100182036,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
86,2100182038,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
87,2100182054,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
88,2100182135,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
89,2100182180,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
90,2100182186,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
91,2100182238,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
92,2100182271,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
93,2100182305,man,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
94,2100182310,Woman,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
95,2100182322,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,Side impact,another situation
96,2100182353,man,good no adverse circumstances were found,"correct, appropriate",another situation
97,2100182385,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
98,2100182388,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
99,2100182447,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
100,2100182473,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
101,2100182474,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
102,2100182496,Woman,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
103,2100182499,Woman,good no adverse circumstances were found,,Crossing outside the crossing (20 metres or more from the crossing)
104,2100182512,man,good no adverse circumstances were found,"correct, appropriate",walking on the right side
105,2100182535,Woman,good no adverse circumstances were found,,crossing at a marked crossing
106,2100182541,child (up to 15 years),not detected,,Crossing outside the crossing (20 metres or more from the crossing)
107,2100182555,another group,not detected,,another situation
